,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
168,Gibraltar,4286.00,,94.00,,4188.00,4.00,1.00,127249.00,2791.00,235484.00,6991390.00
50,Greece,358116.00,2671.00,10910.00,63.00,320966.00,26240.00,754.00,34501.00,1051.00,8386740.00,807980.00
211,Greenland,31.00,,,,31.00,0.00,,545.00,,20669.00,363552.00
204,Grenada,160.00,,1.00,,158.00,1.00,,1416.00,9.00,26331.00,233092.00
134,Guadeloupe,15360.00,,210.00,,2242.00,12908.00,18.00,38383.00,525.00,187796.00,469276.00
69,Guatemala,232439.00,,7677.00,,210369.00,14393.00,5.00,12775.00,422.00,1291245.00,70969.00
126,Guinea,22505.00,,148.00,,20078.00,2279.00,24.00,1676.00,11.00,439345.00,32710.00
174,Guinea-Bissau,3738.00,,67.00,,3373.00,298.00,9.00,1862.00,33.00,64038.00,31906.00
137,Guyana,13957.00,,310.00,,11787.00,1860.00,16.00,17672.00,393.00,127708.00,161705.00
141,Haiti,13164.00,,263.00,,12154.00,747.00,,1143.00,23.00,60085.00,5216.00
71,Honduras,217595.00,631.00,5502.00,63.00,80583.00,131510.00,561.00,21679.00,548.00,645503.00,64310.00
146,Hong Kong,11802.00,3.00,210.00,,11473.00,119.00,3.00,1564.00,28.00,13412611.00,1776893.00
32,Hungary,789188.00,1541.00,28403.00,106.00,553836.00,206949.00,445.00,81870.00,2947.00,5494198.00,569963.00
160,Iceland,6506.00,6.00,29.00,,6347.00,130.00,5.00,18962.00,85.00,613017.00,1786628.00
2,India,21640667.00,155382.00,235189.00,1118.00,17719749.00,3685729.00,8944.00,15553.00,169.00,298601699.00,214596.00
18,Indonesia,1703632.00,6327.00,46663.00,167.00,1558423.00,98546.00,,6173.00,169.00,15099282.00,54715.00
14,Iran,2627094.00,17076.00,74241.00,335.00,2074089.00,478764.00,5534.00,30944.00,874.00,16789338.00,197755.00
24,Iraq,1103950.00,5763.00,15702.00,29.00,992423.00,95825.00,533.00,26938.00,383.00,9606567.00,234416.00
66,Ireland,251904.00,430.00,4921.00,,234404.00,12579.00,34.00,50539.00,987.00,4599866.00,922867.00
188,Isle of Man,1590.00,,29.00,,1549.00,12.00,1.00,18615.00,340.00,44761.00,524054.00
31,Israel,838850.00,22.00,6374.00,,831387.00,1089.00,85.00,91203.00,693.00,14346755.00,1559839.00
8,Italy,4092747.00,10554.00,122470.00,207.00,3572713.00,397564.00,2253.00,67776.00,2028.00,60532582.00,1002419.00
108,Jamaica,46428.00,90.00,801.00,3.00,22018.00,23609.00,21.00,15621.00,270.00,340151.00,114448.00
38,Japan,620994.00,4344.00,10589.00,72.00,546042.00,64363.00,1131.00,4923.00,84.00,12241999.00,97044.00
34,Jordan,718632.00,702.00,9047.00,33.00,699460.00,10125.00,729.00,69847.00,879.00,6814404.00,662324.00
52,Kazakhstan,337652.00,2840.00,3858.00,25.00,291829.00,41965.00,221.00,17803.00,203.00,10455458.00,551269.00
80,Kenya,162098.00,,2850.00,,110480.00,48768.00,190.00,2960.00,52.00,1701385.00,31066.00
59,Kuwait,281772.00,,1621.00,,265530.00,14621.00,199.00,65168.00,375.00,2379181.00,550254.00
92,Kyrgyzstan,97663.00,385.00,1643.00,3.00,90959.00,5061.00,70.00,14764.00,248.00,1017506.00,153822.00
